"","p.value","HR","Low 95%CI","High 95%CI"
"CAMK2A",0.0327610258038579,2.39636750615628,1.07427954762948,5.3455148031379
"GLUD1",0.0384466907479672,1.25151632606291,1.01200386743249,1.54771455407158
"PYGB",0.00273789380355268,1.3342091811153,1.1048309542401,1.61120950869513
"IFNB1",0.0281270322350771,0.616707113126887,0.400570872274402,0.949464101625353
"STAT1",0.0130541517319,0.848785549029323,0.74572434949858,0.966090095791327
"STAT4",0.0453510780388979,0.772958053233074,0.60065696154144,0.994684471024222
"STAT5A",0.0273340871426798,1.19986110351804,1.0205827815374,1.41063193871135
"TICAM2",0.0217365868827994,3.80913527741249,1.21556726062115,11.936411938418
"ZBP1",0.0233364207327507,0.863305658160784,0.760319827849765,0.980240988216988
"GZMB",0.0323700603939584,0.895810214600022,0.809931274630199,0.990795102890841
"ELANE",0.0288122777765403,2.30532465774065,1.09021929872853,4.87472729916368
"AKT2",0.0497207142783267,1.1676904431985,1.00018921799183,1.3632430210303
"NFKB1",0.0418828480137024,1.20901032110979,1.0069943283456,1.45155331604643
"PPP3CA",0.00710285578257363,1.29925126198825,1.0737818903766,1.57206398888514
"PIK3CD",0.0353169711563927,1.1707729712069,1.01090161354403,1.35592755194363
"PRKAR1B",0.0237970933182313,1.22828277430965,1.02770514164998,1.46800722553907
"PIK3CG",0.0476491491128358,1.21200524842882,1.00199419850961,1.46603316107416
"CHP1",0.0248493099458043,1.32467720308125,1.03620023484593,1.69346583155725
"CDKN1B",0.0487313300189181,1.19992556727298,1.00101502930229,1.43836138803925
"TIMP3",0.0162788463964983,1.11930110273794,1.02098096779241,1.22708943468289
"IGF2R",0.0213165958933011,1.18571975345155,1.02565529241986,1.37076398290516
"CD38",0.00109877805068585,0.776216639682622,0.666681817921429,0.903747868208984
"HGF",0.00497080185463761,1.33848172780777,1.09211105221169,1.64043146715452
"GADD45B",0.0479143109642911,1.13883075216574,1.00119442285166,1.29538824076183
"GCH1",0.0264824550988525,0.829401408076941,0.703095954704784,0.978396605921095
"TAP1",0.0271259992341595,0.896104063291147,0.81302003272453,0.987678605600829
"CASP2",0.0239251750139231,0.77499918924556,0.621194693118675,0.966884859102507
"EMP1",0.00075526982326965,1.24675100649394,1.09661285398272,1.41744469486052
"ISG20",0.002271874564597,0.799926976421359,0.693096757567108,0.92322343254457
"ERBB2",0.0121209084610418,1.21904177146069,1.04426943271349,1.4230645789416
"DNAJA1",0.0401288832410863,0.812361008731601,0.666137209948337,0.990682397938114
"PSMB1",0.036360038126377,1.27629750959382,1.01561422434061,1.60389180651047
"PSMA4",0.0358619358640043,0.785294331145834,0.626605262922087,0.984171731424577
"BBC3",0.0423564206846738,1.22757995128306,1.00709934059946,1.4963295834303
"PSMA2",0.00176583778906239,0.735998231073001,0.607347900023563,0.891899677469157
"UNC5B",0.0239908931780903,1.13202429090975,1.0164674325288,1.2607182032597
"SEM1",0.0305688404296278,0.761063739124726,0.594230507953557,0.974736246722255
"APC",0.00676098419002662,1.37640108885828,1.09229609776837,1.73440146978535
"PSMA8",0.0315450500564,2.74976497872672,1.09358555724427,6.91414346883429
"UBB",0.0231802019770055,0.904450198674589,0.829342225945604,0.986360197625048
