"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"3.0526315789473686","0.03508771929824561","0.3275862068965517","0.3333333333333333","3","5","false","AKT2","3.0","0","3","0","0.743421052631579","false","0","AKT2","32","0.6666666666666666"
"2.3157894736842106","0.43079922027290446","0.4318181818181818","0.0","3","4","false","CDKN1B","4.333333333333333","0","3","0","0.8355263157894737","false","0","CDKN1B","294","0.4166666666666667"
"2.789473684210526","0.021442495126705645","0.3584905660377359","0.6666666666666666","3","5","false","PIK3CD","4.0","0","3","0","0.7763157894736843","false","0","PIK3CD","28","0.5714285714285714"
"2.789473684210526","0.021442495126705645","0.3584905660377359","0.6666666666666666","3","5","false","PIK3CG","4.0","0","3","0","0.7763157894736843","false","0","PIK3CG","28","0.5714285714285714"
"3.1052631578947367","0.0","0.3220338983050848","0.0","1","6","false","CAMK2A","8.0","0","1","0","0.736842105263158","false","0","CAMK2A","0","0.0"
"2.1578947368421053","0.4649122807017544","0.46341463414634143","0.17857142857142858","8","5","false","STAT1","2.875","0","8","0","0.8552631578947368","false","0","STAT1","252","0.23863636363636365"
"1.0","0.0","1.0","0.0","1","1","false","CD38","1.0","0","1","0","1.0","false","0","CD38","0","0.0"
"1.0","0.0","1.0","0.0","1","1","false","GZMB","1.0","0","1","0","1.0","false","0","GZMB","0","0.0"
"2.0","0.6140350877192982","0.5","0.13333333333333333","6","4","false","ERBB2","3.6666666666666665","0","6","0","0.875","false","0","ERBB2","394","0.2777777777777778"
"2.8421052631578947","0.3508771929824561","0.35185185185185186","0.5","4","5","false","UBB","3.75","0","4","0","0.7697368421052632","false","0","UBB","240","0.5833333333333334"
"2.9473684210526314","0.0","0.3392857142857143","0.0","1","5","false","HGF","6.0","0","1","0","0.756578947368421","false","0","HGF","0","0.0"
"2.3684210526315788","0.1023391812865497","0.4222222222222223","0.5","4","5","false","NFKB1","5.25","0","4","0","0.8289473684210527","false","0","NFKB1","94","0.40384615384615385"
"2.8947368421052633","0.10818713450292397","0.34545454545454546","0.3333333333333333","4","6","false","IFNB1","3.75","0","4","0","0.763157894736842","false","0","IFNB1","78","0.4375"
"3.0","0.0","0.3333333333333333","1.0","2","6","false","ISG20","6.0","0","2","0","0.75","false","0","ISG20","0","0.6666666666666666"
"3.8421052631578947","0.0","0.2602739726027397","0.0","1","7","false","TICAM2","4.0","0","1","0","0.6447368421052632","false","0","TICAM2","0","0.0"
"3.0","0.0029239766081871343","0.3333333333333333","0.6666666666666666","3","6","false","STAT5A","4.666666666666667","0","3","0","0.75","false","0","STAT5A","2","0.5833333333333334"
"3.5789473684210527","0.031189083820662773","0.27941176470588236","0.8333333333333334","4","6","false","PSMA2","3.75","0","4","0","0.6776315789473684","false","0","PSMA2","42","0.75"
"3.5789473684210527","0.031189083820662773","0.27941176470588236","0.8333333333333334","4","6","false","PSMA4","3.75","0","4","0","0.6776315789473684","false","0","PSMA4","42","0.75"
"4.421052631578948","0.0","0.22619047619047616","1.0","3","7","false","PSMA8","4.0","0","3","0","0.5723684210526315","false","0","PSMA8","0","1.0"
"3.5789473684210527","0.031189083820662773","0.27941176470588236","0.8333333333333334","4","6","false","PSMB1","3.75","0","4","0","0.6776315789473684","false","0","PSMB1","42","0.75"
"3.1052631578947367","0.0","0.3220338983050848","0.0","1","6","false","TAP1","8.0","0","1","0","0.736842105263158","false","0","TAP1","0","0.0"
"3.0526315789473686","0.0","0.3275862068965517","1.0","2","6","false","STAT4","5.5","0","2","0","0.743421052631579","false","0","STAT4","0","0.6875"
