Gene 1	Gene 2	Weight	Network group	Network
CHP1	CASP2	0.016581075	Co-expression	Rieger-Chu-2004
CD38	HGF	0.018078933	Co-expression	Rieger-Chu-2004
CD38	ISG20	0.015066763	Co-expression	Rieger-Chu-2004
TAP1	GZMB	0.011121057	Co-expression	Rieger-Chu-2004
TAP1	IGF2R	0.006780337	Co-expression	Rieger-Chu-2004
PPP3CA	EMP1	0.016095014	Co-expression	Rieger-Chu-2004
PPP3CA	CHP1	0.0062533855	Co-expression	Rieger-Chu-2004
STAT1	GZMB	0.010160627	Co-expression	Rieger-Chu-2004
STAT1	IGF2R	0.00835232	Co-expression	Rieger-Chu-2004
STAT1	TAP1	0.012609512	Co-expression	Rieger-Chu-2004
PSMA2	SEM1	0.015338674	Co-expression	Rieger-Chu-2004
PSMA4	SEM1	0.01115216	Co-expression	Rieger-Chu-2004
PSMB1	SEM1	0.0061764945	Co-expression	Rieger-Chu-2004
ERBB2	GLUD1	0.014560739	Co-expression	Rieger-Chu-2004
PSMA3	ISG20	0.008623541	Co-expression	Rieger-Chu-2004
PSMA3	SEM1	0.010818937	Co-expression	Rieger-Chu-2004
PSMA3	PSMB1	0.008213875	Co-expression	Rieger-Chu-2004
PSMA5	PSMA2	0.01097252	Co-expression	Rieger-Chu-2004
PSMA5	PSMA4	0.008906768	Co-expression	Rieger-Chu-2004
PSMB2	PSMA2	0.014113246	Co-expression	Rieger-Chu-2004
PSMB2	PSMB1	0.007905377	Co-expression	Rieger-Chu-2004
PSMB2	PSMA3	0.008374563	Co-expression	Rieger-Chu-2004
PSMA1	SEM1	0.010006434	Co-expression	Rieger-Chu-2004
PSMA1	PSMB1	0.007805006	Co-expression	Rieger-Chu-2004
PSMA1	PSMA3	0.01298701	Co-expression	Rieger-Chu-2004
PSMA1	PSMB2	0.011434256	Co-expression	Rieger-Chu-2004
PSMB3	PSMB1	0.0067652664	Co-expression	Rieger-Chu-2004
PSMB3	PSMB2	0.008922923	Co-expression	Rieger-Chu-2004
PSMB8	PSMA1	0.014994844	Co-expression	Rieger-Chu-2004
PSMB6	PSMB1	0.005228075	Co-expression	Rieger-Chu-2004
PSMB6	PSMA3	0.0062195905	Co-expression	Rieger-Chu-2004
PSMB6	PSMB2	0.0067201057	Co-expression	Rieger-Chu-2004
PSMB6	PSMA1	0.0072012823	Co-expression	Rieger-Chu-2004
PSMB6	PSMB3	0.0062953574	Co-expression	Rieger-Chu-2004
PSMB7	SEM1	0.008339428	Co-expression	Rieger-Chu-2004
PSMB7	PSMB1	0.00863136	Co-expression	Rieger-Chu-2004
PSMB7	PSMA3	0.010827253	Co-expression	Rieger-Chu-2004
PSMB7	PSMB2	0.008459083	Co-expression	Rieger-Chu-2004
PSMB7	PSMA1	0.011537599	Co-expression	Rieger-Chu-2004
PSMB7	PSMB3	0.008085458	Co-expression	Rieger-Chu-2004
PSMB7	PSMB6	0.00799046	Co-expression	Rieger-Chu-2004
PSMB4	UBB	0.009558677	Co-expression	Rieger-Chu-2004
PSMB4	PSMA2	0.014507937	Co-expression	Rieger-Chu-2004
PSMB4	PSMB1	0.0069158827	Co-expression	Rieger-Chu-2004
PSMB4	PSMA1	0.010703945	Co-expression	Rieger-Chu-2004
PSMB4	PSMB3	0.009741758	Co-expression	Rieger-Chu-2004
PSMB4	PSMB6	0.006820446	Co-expression	Rieger-Chu-2004
IL12RB2	STAT5A	0.008516739	Co-expression	Rieger-Chu-2004
IL12RB2	STAT4	0.007120279	Co-expression	Rieger-Chu-2004
ADRM1	PSMB3	0.00759884	Co-expression	Rieger-Chu-2004
ADRM1	PSMB6	0.007506702	Co-expression	Rieger-Chu-2004
DAP	PYGB	0.01894762	Co-expression	Rieger-Chu-2004
B2M	CHP1	0.010618566	Co-expression	Rieger-Chu-2004
B2M	UBB	0.014827137	Co-expression	Rieger-Chu-2004
PSMA7	ISG20	0.011128141	Co-expression	Rieger-Chu-2004
GCH1	ISG20	0.017971348	Co-expression	Rosenwald-Staudt-2001
PIK3CG	CD38	0.008015844	Co-expression	Rosenwald-Staudt-2001
CDKN1B	AKT2	0.021654759	Co-expression	Rosenwald-Staudt-2001
STAT4	CD38	0.006126043	Co-expression	Rosenwald-Staudt-2001
STAT4	STAT5A	0.011674142	Co-expression	Rosenwald-Staudt-2001
APC	IGF2R	0.017723937	Co-expression	Rosenwald-Staudt-2001
STAT1	IGF2R	0.016314829	Co-expression	Rosenwald-Staudt-2001
STAT1	TAP1	0.016556395	Co-expression	Rosenwald-Staudt-2001
RIPK3	CD38	0.0051928065	Co-expression	Rosenwald-Staudt-2001
RIPK3	STAT4	0.0066534574	Co-expression	Rosenwald-Staudt-2001
B2M	IGF2R	0.024426822	Co-expression	Rosenwald-Staudt-2001
BST1	TIMP3	0.0071744146	Co-expression	Rosenwald-Staudt-2001
CD38	ISG20	0.0064470703	Co-expression	Boldrick-Relman-2002
GCH1	TIMP3	0.0073610414	Co-expression	Boldrick-Relman-2002
TAP1	ISG20	0.008955544	Co-expression	Boldrick-Relman-2002
STAT5A	ISG20	0.008081189	Co-expression	Boldrick-Relman-2002
STAT4	ISG20	0.0077945627	Co-expression	Boldrick-Relman-2002
STAT4	STAT5A	0.020136364	Co-expression	Boldrick-Relman-2002
STAT1	ISG20	0.006540585	Co-expression	Boldrick-Relman-2002
STAT1	CD38	0.01283317	Co-expression	Boldrick-Relman-2002
STAT1	TAP1	0.018726556	Co-expression	Boldrick-Relman-2002
STAT1	STAT5A	0.013378392	Co-expression	Boldrick-Relman-2002
DAP	CHP1	0.0049311873	Co-expression	Boldrick-Relman-2002
B2M	ISG20	0.008411788	Co-expression	Boldrick-Relman-2002
B2M	TAP1	0.02621706	Co-expression	Boldrick-Relman-2002
BST1	CHP1	0.01002067	Co-expression	Boldrick-Relman-2002
BST1	DAP	0.006888557	Co-expression	Boldrick-Relman-2002
ISG20	GZMB	0.0077241273	Co-expression	Bild-Nevins-2006 B
CD38	GZMB	0.007615033	Co-expression	Bild-Nevins-2006 B
CD38	ISG20	0.009343864	Co-expression	Bild-Nevins-2006 B
GCH1	GZMB	0.010721753	Co-expression	Bild-Nevins-2006 B
GCH1	CD38	0.013116963	Co-expression	Bild-Nevins-2006 B
TAP1	GZMB	0.005674624	Co-expression	Bild-Nevins-2006 B
